SubjectID,Trial,T_end,chooseVelocity,Age,Gender,Comments
0,0,3,0,37,F,I was asked to decide on a defense against an alien attack based off of past scenarios.
0,1,5,0,37,F,I was asked to decide on a defense against an alien attack based off of past scenarios.
0,2,8,0,37,F,I was asked to decide on a defense against an alien attack based off of past scenarios.
1,0,3,0,44,F,I had to choose which defense system would be better based on when the attack would happen. I could choose A or B after viewing examples of their increases over several months.
1,1,5,1,44,F,I had to choose which defense system would be better based on when the attack would happen. I could choose A or B after viewing examples of their increases over several months.
1,2,8,1,44,F,I had to choose which defense system would be better based on when the attack would happen. I could choose A or B after viewing examples of their increases over several months.
2,0,3,0,36,M,none
2,1,5,0,36,M,none
2,2,8,1,36,M,none
3,0,3,1,46,F,I had to choose the missile that would be most effective when the time came to use it
3,1,5,1,46,F,I had to choose the missile that would be most effective when the time came to use it
3,2,8,1,46,F,I had to choose the missile that would be most effective when the time came to use it
4,0,3,1,38,F,My task is to choose the energy type to use.
4,1,5,1,38,F,My task is to choose the energy type to use.
4,2,8,1,38,F,My task is to choose the energy type to use.
5,0,3,1,39,M,Using historical evidence to predict future behaviors of planetary defenses
5,1,5,0,39,M,Using historical evidence to predict future behaviors of planetary defenses
5,2,8,0,39,M,Using historical evidence to predict future behaviors of planetary defenses
6,0,3,0,46,F,I had to observe the improvements and effectiveness over time of two different energy sources and choose which one to use as a form of defense against attack over three scenarios.
6,1,5,1,46,F,I had to observe the improvements and effectiveness over time of two different energy sources and choose which one to use as a form of defense against attack over three scenarios.
6,2,8,1,46,F,I had to observe the improvements and effectiveness over time of two different energy sources and choose which one to use as a form of defense against attack over three scenarios.
7,0,3,0,40,F,much more hava great succeful study now
7,1,5,1,40,F,much more hava great succeful study now
7,2,8,0,40,F,much more hava great succeful study now
8,0,3,1,30,M,i chose which energy was better to use for the defense system over a certain timespan
8,1,5,1,30,M,i chose which energy was better to use for the defense system over a certain timespan
8,2,8,1,30,M,i chose which energy was better to use for the defense system over a certain timespan
9,0,3,0,35,M,I was asked to determine which energy type would be better for defense after several months
9,1,5,1,35,M,I was asked to determine which energy type would be better for defense after several months
9,2,8,1,35,M,I was asked to determine which energy type would be better for defense after several months
10,0,3,0,63,F,"Was provided some statistical data for two defense systems that would be employed to counter an alien attack. Using historical data and the projection of improvement over the course of 10 months, I as defense officer in charge had to select the weapon system to deploy over time. "
10,1,5,0,63,F,"Was provided some statistical data for two defense systems that would be employed to counter an alien attack. Using historical data and the projection of improvement over the course of 10 months, I as defense officer in charge had to select the weapon system to deploy over time. "
